,sim_i,t,source,target
28547,1,19,1147,893
28548,1,19,1384,893
28549,1,19,1128,894
28550,1,19,1741,894
28551,1,19,2897,895
28552,1,19,1119,897
28553,1,19,1839,899
28554,1,19,2568,900
28555,1,19,2975,900
28556,1,19,1334,902
28557,1,19,2124,903
28558,1,19,2026,905
28559,1,19,2301,905
28560,1,19,2532,905
28561,1,19,1010,906
28562,1,19,996,908
28563,1,19,1538,908
28564,1,19,2379,908
28565,1,19,2397,908
28566,1,19,1083,909
28567,1,19,2307,909
28568,1,19,2641,912
28569,1,19,1320,913
28570,1,19,1599,914
28571,1,19,2039,914
28572,1,19,2650,914
28573,1,19,2420,915
28574,1,19,2336,919
28575,1,19,2481,920
28576,1,19,2137,922
28577,1,19,1058,924
28578,1,19,1869,924
28579,1,19,2655,925
28580,1,19,1219,926
28581,1,19,2853,926
28582,1,19,1800,927
28583,1,19,1121,929
28584,1,19,1986,930
28585,1,19,2661,930
28586,1,19,2197,932
28587,1,19,1399,933
28588,1,19,2815,933
28589,1,19,1919,934
28590,1,19,2751,934
28591,1,19,2099,935
28592,1,19,2280,937
28593,1,19,2847,941
28594,1,19,2499,944
28595,1,19,2852,944
28596,1,19,1681,946
28597,1,19,1027,947
28598,1,19,1173,947
28599,1,19,1785,949
28600,1,19,1562,950
28601,1,19,1824,950
28602,1,19,2993,950
28603,1,19,1324,951
28604,1,19,1573,951
28605,1,19,975,953
28606,1,19,2704,953
28607,1,19,1514,954
28608,1,19,2588,954
28609,1,19,1527,956
28610,1,19,1848,956
28611,1,19,1285,960
28612,1,19,1358,961
28613,1,19,2590,962
28614,1,19,2246,963
28615,1,19,2463,963
28616,1,19,1348,964
28617,1,19,2140,964
28618,1,19,2711,964
28619,1,19,1535,965
28620,1,19,2448,967
28621,1,19,2830,967
28622,1,19,1917,968
28623,1,19,2170,968
28624,1,19,1364,970
28625,1,19,1386,972
28626,1,19,1307,974
28627,1,19,1722,974
28628,1,19,1590,976
28629,1,19,1247,977
28630,1,19,2077,977
28631,1,19,2082,978
28632,1,19,2930,979
28633,1,19,2959,981
28634,1,19,1598,982
28635,1,19,2277,985
28636,1,19,2314,985
28637,1,19,2767,986
28638,1,19,1879,990
